opeid,stateabv,state,county,city,name,address,zipcode,zipext,proglength,schooltype,year1,num1,denom1,drate1,prate1,ethniccode,congdis,region,averageorgreaterthan30,year2,num2,denom2,drate2,prate2,year3,num3,denom3,drate3,prate3,lat,lng,population,density,military,agemedian,male,female,married,familysize,incomehouseholdmedian,incomehouseholdsixfigure,homeownership,homevalue,rentmedian,educationcollegeorabove,laborforceparticipation,unemploymentrate,racewhite,raceblack,raceasian,racenative,racepacific,raceother,racemultiple
3837,WI,Wisconsin,Milwaukee,Milwaukee,CARDINAL STRITCH UNIVERSITY                                      ,6801 NORTH YATES ROAD                             ,53217,9884,8,2,2016,109,1298,8.3,A,5,5,5,0,2015,116.0,1643.0,7.0,A,2014,109.0,1601.0,6.8,A,43.0642,-87.9673,1377808.0,2389.0,False,31.3,48.1,51.9,30.1,3.37,38289.0,12.1,41.9,115152.0,1061.0,23.8,65.0,9.0,45.8,38.9,4.0,0.5,0.0,6.8,3.9
3838,WI,Wisconsin,Waukesha,Waukesha,CARROLL UNIVERSITY                                               ,100 NORTH EAST AVENUE                             ,53186,5593,8,2,2016,11,877,1.2,A,5,5,5,0,2015,21.0,894.0,2.3,A,2014,35.0,893.0,3.9,A,43.0087,-88.2464,72489.0,1096.0,False,35.3,48.8,51.2,48.3,3.02,61380.0,26.4,58.6,195628.0,1326.0,36.2,71.5,3.8,87.4,3.7,3.4,0.3,0.1,3.0,2.2
3839,WI,Wisconsin,Kenosha,Kenosha,CARTHAGE COLLEGE                                                 ,2001 ALFORD PARK DRIVE                            ,53140,1994,8,2,2016,51,822,6.2,A,5,1,5,0,2015,55.0,844.0,6.5,A,2014,47.0,840.0,5.5,A,42.5864,-87.8762,124888.0,1381.0,False,35.3,49.0,51.0,41.0,3.2,50256.0,19.3,56.0,142475.0,1123.0,23.4,66.3,8.9,80.3,11.3,1.3,0.5,0.0,2.8,3.7
3840,WI,Wisconsin,La Crosse,La Crosse,WESTERN TECHNICAL COLLEGE                                        ,400 7TH STREET NORTH                              ,54601,908,5,1,2016,204,1467,13.9,P,5,3,5,0,2015,230.0,1617.0,14.2,P,2014,256.0,1555.0,16.4,P,43.8241,-91.2268,101886.0,921.0,False,28.3,48.4,51.6,31.1,2.82,42243.0,11.3,46.7,131871.0,950.0,32.7,67.1,6.0,89.6,1.8,4.7,0.4,0.0,1.3,2.3
3842,WI,Wisconsin,Ozaukee,Mequon,CONCORDIA UNIVERSITY                                             ,12800 NORTH LAKE SHORE DRIVE                      ,53097,2402,8,2,2016,118,2322,5.0,P,5,5,5,0,2015,143.0,2416.0,5.9,P,2014,118.0,2182.0,5.4,P,43.2352,-87.9838,24159.0,201.0,False,48.7,48.4,51.6,66.6,2.9,109488.0,53.9,85.3,373865.0,1692.0,65.1,58.0,2.5,92.4,2.6,3.2,0.3,0.0,0.1,1.4
3848,WI,Wisconsin,Dane,Madison,EDGEWOOD COLLEGE                                                 ,1000 EDGEWOOD COLLEGE DRIVE                       ,53711,1958,8,2,2016,16,729,2.1,A,5,2,5,0,2015,28.0,710.0,3.9,A,2014,24.0,737.0,3.2,A,43.0827,-89.3923,439553.0,1250.0,False,31.0,49.4,50.6,37.8,2.85,59387.0,26.0,47.6,223328.0,1413.0,57.1,72.1,4.1,78.8,6.5,8.8,0.4,0.0,1.9,3.5
3850,WI,Wisconsin,Manitowoc,Manitowoc,SILVER LAKE COLLEGE OF THE HOLY FAMILY                           ,2406 SOUTH ALVERNO ROAD                           ,54220,9319,8,2,2016,14,177,7.9,A,5,6,5,0,2015,17.0,152.0,11.1,A,2014,10.0,133.0,7.5,A,44.0991,-87.6811,44932.0,710.0,False,42.8,47.9,52.1,48.6,2.93,43907.0,13.3,66.3,105703.0,758.0,20.8,62.6,4.0,90.2,1.2,5.8,0.4,0.1,0.4,1.9
3854,WI,Wisconsin,Sheboygan,Plymouth,LAKELAND UNIVERSITY                                              ,W3718 SOUTH DRIVE                                 ,53073,4878,8,2,2016,71,968,7.3,A,5,6,5,0,2015,55.0,957.0,5.7,A,2014,54.0,942.0,5.7,A,43.7451,-87.9656,8900.0,632.0,False,42.3,47.7,52.3,53.9,2.77,51229.0,18.0,56.4,143401.0,1050.0,29.5,69.5,3.1,96.7,1.0,0.2,0.0,0.0,0.3,1.7
3856,WI,Wisconsin,Outagamie,Appleton,LAWRENCE UNIVERSITY OF WISCONSIN                                 ,711 E. BOLDT WAY                                  ,54911,0,6,2,2016,3,273,1.0,A,5,8,5,0,2015,3.0,317.0,0.9,A,2014,7.0,269.0,2.6,A,44.2774,-88.3894,222222.0,1178.0,False,35.5,49.1,50.9,49.9,3.12,55817.0,21.0,65.7,139968.0,1052.0,32.4,70.7,3.4,84.6,2.8,7.2,0.7,0.0,2.5,2.2
3861,WI,Wisconsin,Fond du Lac,Fond Du Lac,MARIAN UNIVERSITY                                                ,45 SOUTH NATIONAL AVENUE                          ,54935,4699,8,2,2016,44,616,7.1,A,5,6,5,0,2015,48.0,646.0,7.4,A,2014,47.0,669.0,7.0,A,43.77425,-88.43516,42107.0,1020.2,False,38.4,48.9,51.1,48.6,2.99,51351.0,16.6,59.4,125107.0,708.0,24.8,66.9,5.7,89.3,2.3,1.6,0.8,0.0,3.1,2.9
