proprietary,opeid,agemedian,cdr2014_log,cdr2015_log,cdr2016_log,cohort2014_log,cohort2015_log,cohort2016_log,density_log,educationcollegeorabove,familysize_log,female_sqrt,homeownership,homevalue_log,incomehouseholdmedian_log,incomehouseholdsixfigure_log,laborforceparticipation_sqrt,male_reciprocal,married,population_log,proglength,raceasian_log,raceblack_log,racemultiple_log,racenative_reciprocal,raceother_log,racepacific,racewhite,rentmedian_log,unemploymentrate_log,associates,bachelors,firstprofessional,gradprofessional,mastersordoctors,nondegree,nondegree1year,nondegree2years,nondegree3years,private,public,hbcuCollege,hispanicCollege,nativeAmericanCollege,notReportedCollege
1,12896,0.30214425,0.6007619329999999,0.616432306,0.7591292620000001,0.390131591,0.376124955,0.33510190300000003,0.7904868209999999,0.457974138,0.386861446,0.457300956,0.416579224,0.367418566,0.442822844,0.69558118,0.272359852,0.495746201,0.462264151,0.472827127,0.5,0.247606987,0.433178617,0.445026796,0.907534247,0.08490949800000001,0.003816794,0.8704453440000001,0.5328555620000001,0.5004754770000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1564,0.270955166,0.189695748,0.215216866,0.217459891,0.649712135,0.654751977,0.633182123,0.6820794790000001,0.497844828,0.52082474,0.45373912,0.406086044,0.492540245,0.463184378,0.748237047,0.425212434,0.500016922,0.318059299,0.884114232,0.7,0.374287643,0.8663981209999999,0.326119733,0.7652792409999999,0.174917193,0.0,0.393724696,0.594845251,0.6129693829999999,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,3235,0.358674464,0.35302231700000003,0.283488333,0.372273815,0.5894031120000001,0.589240164,0.556303167,0.742146467,0.510775862,0.479098248,0.407286319,0.750262329,0.521795122,0.634012158,0.847952138,0.34620940200000005,0.556500651,0.613207547,0.30655239100000004,0.7,0.123401839,0.371482444,0.326119733,1.0,0.118606434,0.0,0.917004049,0.6816474029999999,0.440812187,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,5523,0.419103314,0.545532118,0.447845891,0.59170323,0.344571899,0.317595627,0.236134944,0.55608036,0.580818966,0.445856153,0.416883418,0.7618048270000001,0.652655663,0.6760475970000001,0.881673622,0.34094103600000003,0.5447231929999999,0.7183288409999999,0.402968555,0.2,0.489333206,0.427125159,0.326119733,1.0,0.220926433,0.003816794,0.827935223,0.7228085940000001,0.524082825,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,3429,0.169590643,0.265166517,0.277551548,0.391270055,0.460312758,0.457709816,0.403724698,0.530357007,0.429956897,0.418498511,0.493504416,0.426023085,0.412100193,0.405526036,0.67413341,0.432649267,0.452914117,0.32884097,0.687274578,0.7,0.29789139800000003,0.8139578590000001,0.34988687700000004,0.907534247,0.198968923,0.007633588,0.517206478,0.466430164,0.59911259,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,38143,0.32748538,0.6047870470000001,0.433678816,0.597515593,0.307982265,0.289965779,0.329340885,0.452242835,0.151939655,0.539547832,0.444740646,0.611752361,0.342011441,0.42602091,0.622508277,0.549113865,0.510847823,0.575471698,0.486488772,0.2,0.23944622,0.379265788,0.455533854,0.108447489,0.578526114,0.003816794,0.726720648,0.401516317,0.59911259,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,40283,0.421052632,0.685892175,0.6793959559999999,0.7225452509999999,0.35104718799999995,0.366790802,0.218809347,0.582014249,0.389008621,0.34316928,0.451950251,0.545645331,0.38166235,0.42188109,0.701636198,0.506146993,0.502165383,0.489218329,0.565344562,0.1,0.263116599,0.60143504,0.47540806,0.907534247,0.08490949800000001,0.0,0.777327935,0.34612910700000005,0.531510421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,41426,0.354775828,0.18047397,0.189695748,0.152328809,0.543038999,0.550725324,0.5256999489999999,0.694236497,0.247844828,0.5271022329999999,0.444740646,0.532004197,0.543851102,0.526551853,0.755406791,0.46146037,0.510847823,0.505390836,0.5827266329999999,0.7,0.7448242690000001,0.674558746,0.574743911,0.7093933459999999,0.551654777,0.038167939,0.379554656,0.627335534,0.657635681,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,2325,0.153996101,0.18047397,0.198541019,0.17608124600000002,0.729175817,0.732621968,0.71780461,0.7046911709999999,0.77262931,0.34316928,0.466114941,0.432318993,0.525311871,0.520898548,0.7833878459999999,0.475350911,0.485219776,0.411051213,0.6384766789999999,0.7,0.657514368,0.453132066,0.450330843,0.7093933459999999,0.102319999,0.0,0.71659919,0.59456966,0.492119289,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,37276,0.255360624,0.529205473,0.5966606289999999,0.5857449339999999,0.434019304,0.456581426,0.426899999,0.659860831,0.501077586,0.479098248,0.481668503,0.426023085,0.537281279,0.534365549,0.775639525,0.286582809,0.466796453,0.495956873,0.781378786,0.4,0.483590741,0.468891495,0.385410869,0.660958904,0.515106373,0.003816794,0.746963563,0.6245378979999999,0.450903055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5310,0.502923977,0.582400283,0.560714292,0.546464005,0.444006551,0.448646957,0.408576353,0.572061577,0.205818966,0.354260669,0.413064334,0.766002099,0.270728535,0.454286975,0.663772085,0.454391046,0.549403977,0.571428571,0.390538399,0.4,0.022165144,0.543295551,0.455533854,0.907534247,0.04600924,0.0,0.840080972,0.381539549,0.61025488,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,3979,0.323586745,0.189695748,0.207039327,0.260729592,0.5990772010000001,0.597694955,0.55943083,0.924795048,0.368534483,0.539547832,0.430051004,0.292759706,0.6880444490000001,0.501061572,0.768356325,0.450108017,0.528649554,0.485175202,1.0,0.7,0.629778707,0.7040260770000001,0.398420463,0.7093933459999999,0.701241065,0.003816794,0.421052632,0.679437187,0.581476995,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,1747,0.329434698,0.606112305,0.592480196,0.6229028910000001,0.541142868,0.533421201,0.477823649,0.6295167420000001,0.203663793,0.43908202,0.448356373,0.532004197,0.261880116,0.392327636,0.603313654,0.46146037,0.506488774,0.4973045820000001,0.626671715,0.4,0.33374037,0.679433903,0.434099345,0.7093933459999999,0.401046948,0.0,0.665991903,0.402420961,0.701774088,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1959,0.249512671,0.57943203,0.612619673,0.610548547,0.576305724,0.585540297,0.5466537020000001,0.5822128289999999,0.243534483,0.383287789,0.479959401,0.429171039,0.278956183,0.234402868,0.549604432,0.595266499,0.46881106,0.478436658,0.363907968,0.7,0.270500012,0.453132066,0.460639607,1.0,0.102319999,0.0,0.8572874490000001,0.16444617,0.531510421,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
